Internet Penetration;Digital Advertising Spend;Customer Satisfaction;E-commerce Adoption;Social Media Engagement;Brand Recognition;Product Innovation;Annual Sales Growth
RetailCo;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
ShopLine;0.7;0.4;0.3;0.8;0.4;0.7;0.3;0.8
MarketHub;0.5;0.8;0.7;0.6;0.5;0.6;0.7;0.5
TrendMart;0.7;0.2;0.4;0.8;0.7;0.7;0.3;0.6
UrbanStore;0.8;0.9;0.9;0.8;0.8;0.7;0.9;0.4
ValueShop;0.4;0.9;0.8;0.4;0.3;0.4;0.7;0.5
ClickCart;0.6;0.4;0.4;0.6;0.5;0.5;0.3;0.7
MegaMart;0.4;0.7;0.8;0.3;0.3;0.2;0.8;0.3
SmartBuy;0.5;0.5;0.4;0.5;0.6;0.5;0.5;0.1
EcoStore;0.7;0.4;0.5;0.7;0.8;0.8;0.4;0.6
PrimeRetail;0.7;0.8;0.8;0.7;0.7;0.6;0.7;0.9
GlobalShop;0.4;0.3;0.3;0.4;0.3;0.2;0.1;0.4
FastTrack;0.7;0.4;0.4;0.7;0.8;0.7;0.4;0.5
StyleMart;0.3;0.5;0.5;0.2;0.3;0.3;0.5;0.7
NextGenRetail;0.5;0.6;0.6;0.5;0.5;0.5;0.6;0.6
