DC1-A;DC2-A;DC3-A;DC4-A;DC5-A;age;gender;academic_level
I1;0;0;0;0;0.053273685;1;2;3
I2;0;0;0;0;0.066258773;1;2;2
I3;0;-0.060400988;0;0;0;1;2;2
I4;0;0;0;0;0.103192687;1;2;2
I5;0;0;0;-0.078935348;0;1;2;3
I6;0.044173583;0;0;0;0;1;2;3
I7;0;0;0;0;0.096018534;1;2;3
I8;0;0;0;0.120659196;0;1;2;3
I9;0;0;0;0;0.092421674;1;2;3
I10;0;0;0;0;-0.00434416;1;1;3
I11;0;0;-0.086238474;0;0;1;2;3
I12;0;0;0;0;0.071121428;1;1;3
I13;0;0;0;0;-0.069424079;1;1;3
I14;0;-0.058474839;0;0;0;1;2;2
I15;-0.046026027;0;0;0;0;1;2;3
I16;0;-0.021580077;0;0;0;1;2;2
I17;0;0;0;0;0.030114257;1;1;3
I18;0;0;0.106672416;0;0;1;1;3
I19;0;0;0;-0.10563239;0;1;1;3
I20;0;0;0;0;0.056384803;1;2;3
I21;0;0;0;0;-0.105025653;1;1;3
I22;0;0;0;0.138260161;0;1;1;2
I23;0;0;0;0.032571341;0;1;1;2
I24;0;0;-0.076340963;0;0;1;2;3
I25;0;0;-0.077063112;0;0;1;2;3
I26;0;0;0;-0.091091626;0;1;2;3
I27;0.069330706;0;0;0;0;1;2;3
I28;0;0;0;0;-0.126326096;1;1;3
I29;0;0;0;-0.108067908;0;1;1;3
I30;0;0;0;-0.092128668;0;1;2;3
I31;-0.081572047;0;0;0;0;1;2;4
I32;0.104017427;0;0;0;0;1;1;3
I33;0;0;0;0.099961226;0;1;2;4
I34;0.030540403;0;0;0;0;1;1;3
I35;0.099182213;0;0;0;0;1;1;3
I36;-0.119451464;0;0;0;0;1;1;4
I37;-0.102315406;0;0;0;0;1;1;3
I38;0;0;0;0;-0.09931979;1;2;3
I39;0;0;0.076873343;0;0;1;2;4
I40;0;0;0;-0.039256236;0;1;2;4
I41;0.152831634;0;0;0;0;1;1;3
I42;0;0;0;0.129350303;0;1;2;2
I43;0;0;-0.039780514;0;0;1;1;3
I44;-0.063825344;0;0;0;0;1;2;4
I45;0;0;0;0;-0.073860172;1;1;3
I46;-0.103167285;0;0;0;0;1;1;3
I47;0;-0.071895216;0;0;0;1;2;3
I48;0;0;0;0;0.126115715;1;1;3
I49;0;0;0;0;0.071189504;1;2;3
I50;0;0;0;0;0.064671002;1;1;4
I51;0.04736323;0;0;0;0;1;2;5
I52;0;0;0;0;-0.07599155;1;1;3
I53;0.113936709;0;0;0;0;1;2;3
I54;0;0;0;0;0.078981348;1;2;4
